word,phonetic,partOfSpeech,chinese,grade,semester,unit,page
drop,/drɒp/,v.,落下；掉下,8,下册,3,22
independent,/ˌɪndɪˈpendənt/,adj.,独立的；自主的,8,下册,3,22
fair,/feə(r)/,adj.,合理的；公正的,8,下册,3,24
unfair,/ʌnˈfeə(r)/,adj.,不合理的；不公正的,8,下册,3,24
allow,/əˈlaʊ/,v.,允许；准许,8,下册,4,25
wrong,/rɒŋ/,adj.,有毛病；错误的,8,下册,4,25
What's wrong?,/wɒts rɒŋ/,phrase,哪儿不舒服？,8,下册,4,25
look through,/lʊk θruː/,phrase,快速查看；浏览,8,下册,4,26
guess,/ɡes/,v.,猜测；估计,8,下册,4,26
deal,/diːl/,n.,协议；交易,8,下册,4,26
big deal,/bɪɡ diːl/,phrase,重要的事,8,下册,4,26
work out,/wɜːk aʊt/,phrase,成功地发展；解决,8,下册,4,26
get on with,/ɡet ɒn wɪð/,phrase,和睦相处；关系良好,8,下册,4,27
relation,/rɪˈleɪʃn/,n.,关系；联系；交往,8,下册,4,27
communication,/kəˌmjuːnɪˈkeɪʃn/,n.,交流；沟通,8,下册,4,27
argue,/ˈɑːɡjuː/,v.,争吵；争论,8,下册,4,27
cloud,/klaʊd/,n.,云；云朵,8,下册,4,27
elder,/ˈeldə(r)/,adj.,年纪较长的,8,下册,4,27
instead,/ɪnˈsted/,adv.,代替；反而；却,8,下册,4,27
whatever,/wɒtˈevə(r)/,pron.,任何；每一,8,下册,4,27
nervous,/ˈnɜːvəs/,adj.,焦虑的；担忧的,8,下册,4,27
offer,/ˈɒfə(r)/,v.,主动提出；自愿给予,8,下册,4,27
proper,/ˈprɒpə(r)/,adj.,正确的；恰当的,8,下册,4,27
secondly,/ˈsekəndli/,adv.,第二；其次,8,下册,4,27
communicate,/kəˈmjuːnɪkeɪt/,v.,交流；沟通,8,下册,4,27
explain,/ɪkˈspleɪn/,v.,解释；说明,8,下册,4,27
clear,/klɪə(r)/,adj.,清楚易懂的；晴朗的,8,下册,4,27
copy,/ˈkɒpi/,v.,抄袭；模仿；复制；复印,8,下册,4,28
return,/rɪˈtɜːn/,v.,归还；回来；返回,8,下册,4,28
anymore,/ˌeniˈmɔː(r)/,adv.,再也；不再,8,下册,4,28
member,/ˈmembə(r)/,n.,成员；分子,8,下册,4,29
pressure,/ˈpreʃə(r)/,n.,压力,8,下册,4,29
compete,/kəmˈpiːt/,v.,竞争；对抗,8,下册,4,29
opinion,/əˈpɪnjən/,n.,意见；想法；看法,8,下册,4,30
push,/pʊʃ/,v.,鞭策；督促；推动,8,下册,4,30
skill,/skɪl/,n.,技艺；技巧,8,下册,4,30
typical,/ˈtɪpɪkl/,adj.,典型的,8,下册,4,30
football,/ˈfʊtbɔːl/,n.,足球,8,下册,4,30
cut out,/kʌt aʊt/,phrase,删除；删去,8,下册,4,30
quick,/kwɪk/,adj.,快的；迅速的；时间短暂的,8,下册,4,30
continue,/kənˈtɪnjuː/,v.,持续；继续存在,8,下册,4,30
compare,/kəmˈpeə(r)/,v.,比较,8,下册,4,30
compare...with,/kəmˈpeə(r) wɪð/,phrase,比较；对比,8,下册,4,30
crazy,/ˈkreɪzi/,adj.,不理智的；疯狂的,8,下册,4,30
development,/dɪˈveləpmənt/,n.,发展；发育；成长,8,下册,4,30
cause,/kɔːz/,v.,造成；引起,8,下册,4,30
usual,/ˈjuːʒuəl/,adj.,通常的；寻常的,8,下册,4,31
in one's opinion,/ɪn wʌnz əˈpɪnjən/,phrase,依……看,8,下册,4,32
perhaps,/pəˈhæps/,adv.,可能；大概；也许,8,下册,4,32
rainstorm,/ˈreɪnstɔːm/,n.,暴风雨,8,下册,5,33
alarm,/əˈlɑːm/,n.,闹钟,8,下册,5,34
go off,/ɡəʊ ɒf/,phrase,发出响声,8,下册,5,34
begin,/bɪˈɡɪn/,v.,开始,8,下册,5,34
heavily,/ˈhevɪli/,adv.,在很大程度上；大量地,8,下册,5,34
suddenly,/ˈsʌdənli/,adv.,突然；忽然,8,下册,5,34
pick up,/pɪk ʌp/,phrase,接电话,8,下册,5,34
strange,/streɪndʒ/,adj.,奇特的；奇怪的,8,下册,5,34
storm,/stɔːm/,n.,暴风雨,8,下册,5,35
wind,/wɪnd/,n.,风,8,下册,5,35
light,/laɪt/,n.,光；光线；光亮,8,下册,5,35
report,/rɪˈpɔːt/,v.&n.,报道；公布,8,下册,5,35
area,/ˈeəriə/,n.,地域；地区,8,下册,5,35
wood,/wʊd/,n.,木；木头,8,下册,5,35
window,/ˈwɪndəʊ/,n.,窗；窗户,8,下册,5,35
flashlight,/ˈflæʃlaɪt/,n.,手电筒,8,下册,5,35
match,/mætʃ/,n.,火柴,8,下册,5,35
beat,/biːt/,v.,敲打；打败,8,下册,5,35
against,/əˈɡenst/,prep.,倚；碰；撞,8,下册,5,35
at first,/ət fɜːst/,phrase,起初；起先,8,下册,5,35
asleep,/əˈsliːp/,adj.,睡着,8,下册,5,35
fall asleep,/fɔːl əˈsliːp/,phrase,进入梦乡；睡着,8,下册,5,35
die down,/daɪ daʊn/,phrase,逐渐变弱；逐渐消失,8,下册,5,35
rise,/raɪz/,v.,升起；增加；提高,8,下册,5,35
fallen,/ˈfɔːlən/,adj.,倒下的；落下的,8,下册,5,35
apart,/əˈpɑːt/,adv.,分离；分开,8,下册,5,35
towards,/təˈwɔːdz/,prep.,朝；向；对着,8,下册,5,36
have a look,/hæv ə lʊk/,phrase,看一看,8,下册,5,36
icy,/ˈaɪsi/,adj.,覆盖着冰的；冰冷的,8,下册,5,36
kid,/kɪd/,v.,开玩笑；欺骗,8,下册,5,36
realize,/ˈriːəlaɪz/,v.,理解；领会；认识到,8,下册,5,37
make one's way,/meɪk wʌnz weɪ/,phrase,前往；费力地前进,8,下册,5,37
passage,/ˈpæsɪdʒ/,n.,章节；段落,8,下册,5,38
pupil,/ˈpjuːpl/,n.,学生,8,下册,5,38
completely,/kəmˈpliːtli/,adv.,彻底地；完全地,8,下册,5,38
shocked,/ʃɒkt/,adj.,惊愕的；受震惊的,8,下册,5,38
silence,/ˈsaɪləns/,n.,沉默；缄默；无声,8,下册,5,38
in silence,/ɪn ˈsaɪləns/,phrase,沉默；无声,8,下册,5,38
recently,/ˈriːsntli/,adv.,不久前；最近,8,下册,5,38
take down,/teɪk daʊn/,phrase,拆除；往下拽；记录,8,下册,5,38
terrorist,/ˈterərɪst/,n.,恐怖主义者；恐怖分子,8,下册,5,38
date,/deɪt/,n.,日期；日子,8,下册,5,38
tower,/ˈtaʊə(r)/,n.,塔；塔楼,8,下册,5,38
truth,/truːθ/,n.,实情；事实,8,下册,5,39
shoot,/ʃuːt/,v.,射击；发射,8,下册,6,41
stone,/stəʊn/,n.,石头,8,下册,6,41
weak,/wiːk/,adj.,虚弱的；无力的,8,下册,6,42
god,/ɡɒd/,n.,神；上帝,8,下册,6,42
remind,/rɪˈmaɪnd/,v.,提醒；使想起,8,下册,6,42
bit,/bɪt/,n.,一点；小块,8,下册,6,42
a little bit,/ə ˈlɪtl bɪt/,phrase,有点儿；稍微,8,下册,6,42
silly,/ˈsɪli/,adj.,愚蠢的；不明事理的,8,下册,6,42
instead of,/ɪnˈsted əv/,phrase,代替；反而,8,下册,6,42
turn...into,/tɜːn ˈɪntuː/,phrase,变成,8,下册,6,43
object,/ˈɒbdʒɪkt/,n.,物体；物品,8,下册,6,43
hide,/haɪd/,v.,隐藏；隐蔽,8,下册,6,43
tail,/teɪl/,n.,尾巴,8,下册,6,43
magic,/ˈmædʒɪk/,adj.,有魔力的；有神奇力量的,8,下册,6,43
stick,/stɪk/,n.,棍；条,8,下册,6,43
excite,/ɪkˈsaɪt/,v.,使激动；使兴奋,8,下册,6,43
Western,/ˈwestən/,adj.,西方国家的；欧美的；西方的,8,下册,6,43
once upon a time,/wʌns əˈpɒn ə taɪm/,phrase,从前,8,下册,6,44
stepsister,/ˈstepsɪstə(r)/,n.,继姐,8,下册,6,44
prince,/prɪns/,n.,王子,8,下册,6,44
fall in love,/fɔːl ɪn lʌv/,phrase,爱上；喜欢上,8,下册,6,44
fit,/fɪt/,v.,适合；合身,8,下册,6,44
couple,/ˈkʌpl/,n.,夫妻；两人；两件事物,8,下册,6,44
smile,/smaɪl/,v.&n.,笑；微笑,8,下册,6,44
marry,/ˈmæri/,v.,结婚,8,下册,6,44
get married,/ɡet ˈmærid/,phrase,结婚,8,下册,6,44
gold,/ɡəʊld/,n.,金子；金币,8,下册,6,45
emperor,/ˈempərə(r)/,n.,皇帝,8,下册,6,45
silk,/sɪlk/,n.,丝绸；丝织物,8,下册,6,45
underwear,/ˈʌndəweə(r)/,n.,内衣,8,下册,6,45
nobody,/ˈnəʊbədi/,pron.,没有人,8,下册,6,45
stupid,/ˈstjuːpɪd/,adj.,愚蠢的,8,下册,6,45
cheat,/tʃiːt/,v.,欺骗；蒙骗,8,下册,6,45
stepmother,/ˈstepmʌðə(r)/,n.,继母,8,下册,6,46
wife,/waɪf/,n.,妻子；太太,8,下册,6,46
husband,/ˈhʌzbənd/,n.,丈夫,8,下册,6,46
whole,/həʊl/,adj.,全部的；整体的,8,下册,6,46
scene,/siːn/,n.,场；场景,8,下册,6,46
moonlight,/ˈmuːnlaɪt/,n.,月光,8,下册,6,46
shine,/ʃaɪn/,v.,发光；照耀,8,下册,6,46
bright,/braɪt/,adv.,光亮地；明亮地,8,下册,6,46
ground,/ɡraʊnd/,n.,地；地面,8,下册,6,47
lead,/liːd/,v.,带路；领路,8,下册,6,47
voice,/vɔɪs/,n.,声音,8,下册,6,47
brave,/breɪv/,adj.,勇敢的；无畏的,8,下册,6,47
square,/skweə(r)/,adj.,平方；正方形的,8,下册,7,49
meter,/ˈmiːtə(r)/,n.,米；公尺,8,下册,7,49
deep,/diːp/,adj.,深的；纵深的,8,下册,7,49
desert,/ˈdezət/,n.,沙漠,8,下册,7,49
Asia,/ˈeɪʒə/,n.,亚洲,8,下册,7,50
feel free,/fiːl friː/,phrase,随便,8,下册,7,50
tour,/tʊə(r)/,n.&v.,旅行；旅游,8,下册,7,50
tourist,/ˈtʊərɪst/,n.,旅行者；观光者,8,下册,7,50
wall,/wɔːl/,n.,墙,8,下册,7,50
amazing,/əˈmeɪzɪŋ/,adj.,令人大为惊奇的；令人惊愕的,8,下册,7,50
ancient,/ˈeɪnʃənt/,adj.,古代的；古老的,8,下册,7,50
protect,/prəˈtekt/,v.,保护；防护,8,下册,7,50
wide,/waɪd/,adj.,宽的；宽阔的,8,下册,7,50
as far as I know,/əz fɑː(r) əz aɪ nəʊ/,phrase,就我所知,8,下册,7,50
man-made,/ˌmæn ˈmeɪd/,adj.,人造的,8,下册,7,50
achievement,/əˈtʃiːvmənt/,n.,成就；成绩,8,下册,7,51
southwestern,/ˌsaʊθˈwestən/,adj.,西南的；西南方向的,8,下册,7,51
thick,/θɪk/,adj.,厚的；浓的,8,下册,7,51
include,/ɪnˈkluːd/,v.,包括；包含,8,下册,7,51
freezing,/ˈfriːzɪŋ/,adj.,极冷的；冰冻的,8,下册,7,51
condition,/kənˈdɪʃn/,n.,条件；状况,8,下册,7,51
take in,/teɪk ɪn/,phrase,吸入,8,下册,7,51
succeed,/səkˈsiːd/,v.,实现目标；成功,8,下册,7,51
challenge,/ˈtʃælɪndʒ/,v.&n.,挑战；考验,8,下册,7,51
in the face of,/ɪn ðə feɪs əv/,phrase,面对,8,下册,7,51
achieve,/əˈtʃiːv/,v.,达到；完成；成功,8,下册,7,51
force,/fɔːs/,n.,力；力量,8,下册,7,51
nature,/ˈneɪtʃə(r)/,n.,自然界；大自然,8,下册,7,51
even though,/ˈiːvn ðəʊ/,phrase,即使；虽然,8,下册,7,51
ocean,/ˈəʊʃn/,n.,大海；海洋,8,下册,7,52
the Pacific,/ðə pəˈsɪfɪk/,n.,太平洋,8,下册,7,52
cm,/ˈsentɪmiːtə(r)/,n.,厘米,8,下册,7,53
weigh,/weɪ/,v.,重量是……；称……的重量,8,下册,7,53
birth,/bɜːθ/,n.,出生；诞生,8,下册,7,53
at birth,/ət bɜːθ/,phrase,出生时,8,下册,7,53
up to,/ʌp tuː/,phrase,到达；至多有；不多于,8,下册,7,53
adult,/ˈædʌlt/,adj.,成年的；成人的,8,下册,7,53
bamboo,/ˌbæmˈbuː/,n.,竹子,8,下册,7,54
endangered,/ɪnˈdeɪndʒəd/,adj.,濒危的,8,下册,7,54
research,/rɪˈsɜːtʃ/,n.&v.,研究；调查,8,下册,7,54
keeper,/ˈkiːpə(r)/,n.,饲养员；保管人,8,下册,7,54
awake,/əˈweɪk/,adj.,醒着,8,下册,7,54
excitement,/ɪkˈsaɪtmənt/,n.,激动；兴奋,8,下册,7,54
walk into,/wɔːk ˈɪntuː/,phrase,走路时撞着,8,下册,7,54
fall over,/fɔːl ˈəʊvə(r)/,phrase,绊倒,8,下册,7,54
or so,/ɔː(r) səʊ/,phrase,大约,8,下册,7,54
illness,/ˈɪlnəs/,n.,疾病；病,8,下册,7,54
wild,/waɪld/,adj.,野生的,8,下册,7,54
government,/ˈɡʌvənmənt/,n.,政府；内阁,8,下册,7,54
whale,/weɪl/,n.,鲸,8,下册,7,55
oil,/ɔɪl/,n.,油；食用油；石油,8,下册,7,55
protection,/prəˈtekʃn/,n.,保护；保卫,8,下册,7,55
huge,/hjuːdʒ/,adj.,巨大的；极多的,8,下册,7,55
treasure,/ˈtreʒə(r)/,n.,珠宝；财富,8,下册,8,57
island,/ˈaɪlənd/,n.,岛,8,下册,8,57
full of,/fʊl əv/,phrase,满是……的；大量的；丰富的,8,下册,8,58
classic,/ˈklæsɪk/,n.,经典作品；名著,8,下册,8,58
page,/peɪdʒ/,n.,页；张,8,下册,8,58
hurry,/ˈhʌri/,v.,匆忙；赶快,8,下册,8,58
hurry up,/ˈhʌri ʌp/,phrase,赶快；急忙,8,下册,8,58
due,/djuː/,adj.,预期；预定,8,下册,8,58
fisherman,/ˈfɪʃəmən/,n.,渔民；钓鱼的人,8,下册,8,59
pull,/pʊl/,v.,拉；拖,8,下册,8,59
shark,/ʃɑːk/,n.,鲨鱼,8,下册,8,59
bone,/bəʊn/,n.,骨头,8,下册,8,59
defeat,/dɪˈfiːt/,v.&n.,击败；战胜,8,下册,8,59
destroy,/dɪˈstrɔɪ/,v.,摧毁；毁坏,8,下册,8,59
recommend,/ˌrekəˈmend/,v.,推荐；建议,8,下册,8,59
title,/ˈtaɪtl/,n.,名称；标题；题目,8,下册,8,59
fiction,/ˈfɪkʃn/,n.,小说,8,下册,8,60
science fiction,/ˈsaɪəns ˈfɪkʃn/,phrase,科幻小说,8,下册,8,60
technology,/tekˈnɒlədʒi/,n.,科技；工艺,8,下册,8,60
French,/frentʃ/,n.,法语,8,下册,8,60
pop,/pɒp/,n.,流行音乐；流行乐曲,8,下册,8,61
rock,/rɒk/,n.,摇滚乐,8,下册,8,61
band,/bænd/,n.,乐队,8,下册,8,61
country music,/ˈkʌntri ˈmjuːzɪk/,phrase,乡村音乐,8,下册,8,62
forever,/fərˈevə(r)/,adv.,永远,8,下册,8,62
abroad,/əˈbrɔːd/,adv.,在国外；到国外,8,下册,8,62
actually,/ˈæktʃuəli/,adv.,真实地；事实上,8,下册,8,62
ever since,/ˈevə(r) sɪns/,phrase,自从,8,下册,8,62
fan,/fæn/,n.,迷；狂热爱好者,8,下册,8,62
southern,/ˈsʌðən/,adj.,南方的,8,下册,8,62
modern,/ˈmɒdn/,adj.,现代的；当代的,8,下册,8,62
success,/səkˈses/,n.,成功,8,下册,8,62
belong,/bɪˈlɒŋ/,v.,属于；归属,8,下册,8,62
one another,/wʌn əˈnʌðə(r)/,phrase,互相,8,下册,8,62
laughter,/ˈlɑːftə(r)/,n.,笑；笑声,8,下册,8,62
beauty,/ˈbjuːti/,n.,美；美丽,8,下册,8,62
million,/ˈmɪljən/,num.,一百万,8,下册,8,62
record,/ˈrekɔːd/,n.,唱片；记录,8,下册,8,62
introduce,/ˌɪntrəˈdjuːs/,v.,介绍；引见,8,下册,8,63
line,/laɪn/,n.,行；排,8,下册,8,64
amusement,/əˈmjuːzmənt/,n.,娱乐；游戏,8,下册,9,65
amusement park,/əˈmjuːzmənt pɑːk/,phrase,游乐场,8,下册,9,65
somewhere,/ˈsʌmweə(r)/,adv.,在某处；到某处,8,下册,9,65
camera,/ˈkæmərə/,n.,照相机；摄影机；摄像机,8,下册,9,66
invention,/ɪnˈvenʃn/,n.,发明；发明物,8,下册,9,66
invent,/ɪnˈvent/,v.,发明；创造,8,下册,9,67
unbelievable,/ˌʌnbɪˈliːvəbl/,adj.,难以置信的；不真实的,8,下册,9,67
progress,/ˈprəʊɡres/,n.,进步；进展,8,下册,9,67
rapid,/ˈræpɪd/,adj.,迅速的；快速的,8,下册,9,67
unusual,/ʌnˈjuːʒuəl/,adj.,特别的；不寻常的,8,下册,9,67
toilet,/ˈtɔɪlət/,n.,坐便器；厕所,8,下册,9,67
encourage,/ɪnˈkʌrɪdʒ/,v.,鼓励,8,下册,9,67
social,/ˈsəʊʃl/,adj.,社会的,8,下册,9,67
peaceful,/ˈpiːsfl/,adj.,和平的；安宁的,8,下册,9,67
tea art,/tiː ɑːt/,phrase,茶艺,8,下册,9,67
performance,/pəˈfɔːməns/,n.,表演；演出,8,下册,9,67
perfect,/ˈpɜːfɪkt/,adj.,完美的；完全的,8,下册,9,67
tea set,/tiː set/,phrase,茶具,8,下册,9,67
